"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns"
51,"1_BEF_E2_3_8",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
52,"1_BEF_T6_3_9",2008,187,"1_BEF",39.059479,-78.059835,185,80,2065.70531691328,792.720319410928,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
53,"1_BEF_C11_3_10",2008,185,"1_BEF",39.059479,-78.059835,185,78,2065.70531691328,763.327117430539,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
54,"1_BEF_C13_3_11",2008,176,"1_BEF",39.059479,-78.059835,185,69,2065.70531691328,634.551260788014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
55,"1_BEF_C22_3_12",2008,171,"1_BEF",39.059479,-78.059835,185,64,2065.70531691328,573.704513279014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
56,"1_BEF_E27_3_13",2008,176,"1_BEF",39.059479,-78.059835,185,69,2065.70531691328,634.551260788014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
57,"1_BEF_S1_3_14",2008,190,"1_BEF",39.059479,-78.059835,185,83,2065.70531691328,837.578521216579,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
58,"1_BEF_J22_3_15",2008,183,"1_BEF",39.059479,-78.059835,185,76,2065.70531691328,738.629236414195,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
59,"1_BEF_J15_3_16",2008,185,"1_BEF",39.059479,-78.059835,185,78,2065.70531691328,763.327117430539,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
60,"1_BEF_J9_3_17",2008,185,"1_BEF",39.059479,-78.059835,185,78,2065.70531691328,763.327117430539,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
61,"1_BEF_C30_3_18",2008,172,"1_BEF",39.059479,-78.059835,185,65,2065.70531691328,583.483893059293,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
62,"1_BEF_S2_3_19",2008,208,"1_BEF",39.059479,-78.059835,185,101,2065.70531691328,1119.76548174752,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
63,"1_BEF_C15_3_21",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
64,"1_BEF_J17_3_22",2008,178,"1_BEF",39.059479,-78.059835,185,71,2065.70531691328,661.402589091938,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
65,"1_BEF_C17_4_2",2008,163,"1_BEF",39.059479,-78.059835,185,56,2065.70531691328,469.657216190218,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
66,"1_BEF_S4_4_4",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
67,"1_BEF_S23_4_5",2008,193,"1_BEF",39.059479,-78.059835,185,86,2065.70531691328,884.623948050102,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
68,"1_BEF_S2_4_6",2008,205,"1_BEF",39.059479,-78.059835,185,98,2065.70531691328,1080.80092356771,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
69,"1_BEF_C2_4_7",2008,168,"1_BEF",39.059479,-78.059835,185,61,2065.70531691328,543.771806598197,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
70,"1_BEF_A2_4_8",2008,173,"1_BEF",39.059479,-78.059835,185,66,2065.70531691328,595.425518781998,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
71,"1_BEF_E30_4_9",2008,171,"1_BEF",39.059479,-78.059835,185,64,2065.70531691328,573.704513279014,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
72,"1_BEF_J7_4_10",2008,187,"1_BEF",39.059479,-78.059835,185,80,2065.70531691328,792.720319410928,11.1659746860177,18.6609353862387,-0.351798494760181,-0.700102815538675,20
