"Pop_Code","Plant_ID","Year","yday","Site","Latitude","Longitude"
"335","3_Timmins_E3_4_16",2008,202,"3_Timmins",48.468117,-81.351663
"336","3_Timmins_J1_4_17",2008,235,"3_Timmins",48.468117,-81.351663
"337","3_Timmins_E2_4_18",2008,219,"3_Timmins",48.468117,-81.351663
"338","3_Timmins_S15_4_19",2008,235,"3_Timmins",48.468117,-81.351663
"339","3_Timmins_J25_4_20",2008,230,"3_Timmins",48.468117,-81.351663
"340","3_Timmins_S13_4_21",2008,240,"3_Timmins",48.468117,-81.351663
"341","3_Timmins_J9_4_22",2008,226,"3_Timmins",48.468117,-81.351663
"342","3_Timmins_T10_5_1",2008,250,"3_Timmins",48.468117,-81.351663
"343","3_Timmins_C15_5_4",2008,226,"3_Timmins",48.468117,-81.351663
"344","3_Timmins_E25_5_10",2008,216,"3_Timmins",48.468117,-81.351663
"345","3_Timmins_J7_5_11",2008,245,"3_Timmins",48.468117,-81.351663
"346","3_Timmins_C29_5_12",2008,212,"3_Timmins",48.468117,-81.351663
"347","3_Timmins_E24_5_13",2008,219,"3_Timmins",48.468117,-81.351663
"348","3_Timmins_A16_5_14",2008,207,"3_Timmins",48.468117,-81.351663
"349","3_Timmins_C22_5_17",2008,205,"3_Timmins",48.468117,-81.351663
"350","3_Timmins_C15_5_18",2008,207,"3_Timmins",48.468117,-81.351663
"351","3_Timmins_J25_5_19",2008,230,"3_Timmins",48.468117,-81.351663
